OrderID,CustomerID,ProductID,StoreID,DeliveryPartnerID,OrderDate,DeliveryDate,Quantity,TotalPrice,DiscountApplied,DeliveryTimeMinutes,OrderStatus,PaymentMethodID,TimeOfDay
ORD00001,CUST0041,PROD002,STORE038,DP006,"2024-08-31 00:59:00","2024-08-31 01:16:00",7,767.51,2.60,17,Pending,PAY04,Morning
ORD00002,CUST0050,PROD034,STORE022,DP047,"2024-08-25 06:35:00","2024-08-25 06:53:00",6,123.26,81.61,18,Shipped,PAY02,Morning
ORD00003,CUST0048,PROD107,STORE032,DP030,"2024-12-15 01:02:00","2024-12-15 01:21:00",10,768.17,81.81,19,Cancelled,PAY04,Morning
ORD00004,CUST0047,PROD013,STORE002,DP050,"2024-06-01 09:47:00","2024-06-01 10:07:00",1,192.11,97.78,20,Delivered,PAY05,Morning
ORD00005,CUST0047,PROD073,STORE009,DP043,"2024-03-07 01:09:00","2024-03-07 01:30:00",5,248.37,62.64,21,Cancelled,PAY02,Morning
ORD00006,CUST0032,PROD004,STORE037,DP043,"2024-06-09 10:51:00","2024-06-09 11:13:00",7,452.66,82.48,22,Pending,PAY01,Morning
ORD00007,CUST0039,PROD023,STORE006,DP028,"2024-03-18 09:54:00","2024-03-18 10:17:00",1,537.41,6.63,23,Pending,PAY01,Morning
ORD00008,CUST0018,PROD064,STORE039,DP020,"2024-12-09 06:43:00","2024-12-09 07:07:00",1,769.60,58.42,24,Delivered,PAY05,Morning
ORD00009,CUST0031,PROD124,STORE049,DP039,"2024-04-17 01:38:00","2024-04-17 02:03:00",4,271.32,60.54,25,Delivered,PAY03,Morning
ORD00010,CUST0048,PROD084,STORE012,DP046,"2024-09-22 06:04:00","2024-09-22 06:30:00",5,790.08,67.07,26,Pending,PAY04,Morning
ORD00011,CUST0033,PROD066,STORE043,DP031,"2024-02-17 04:12:00","2024-02-17 04:39:00",7,693.96,64.98,27,Cancelled,PAY01,Morning
ORD00012,CUST0036,PROD102,STORE033,DP017,"2024-04-21 10:40:00","2024-04-21 11:08:00",5,110.41,3.71,28,Delivered,PAY03,Morning
ORD00013,CUST0029,PROD130,STORE023,DP012,"2024-07-26 01:26:00","2024-07-26 01:55:00",9,421.99,87.89,29,Shipped,PAY01,Morning
ORD00014,CUST0032,PROD121,STORE039,DP028,"2024-11-07 03:52:00","2024-11-07 04:22:00",4,659.39,43.53,30,Shipped,PAY04,Morning
ORD00015,CUST0042,PROD144,STORE002,DP010,"2024-06-24 09:53:00","2024-06-24 10:03:00",3,185.38,42.96,10,Shipped,PAY03,Morning
ORD00016,CUST0022,PROD012,STORE032,DP040,"2024-07-10 00:49:00","2024-07-10 01:00:00",8,166.14,53.92,11,Pending,PAY02,Morning
ORD00017,CUST0038,PROD133,STORE041,DP042,"2024-06-07 02:08:00","2024-06-07 02:20:00",6,130.75,72.80,12,Shipped,PAY05,Morning
ORD00018,CUST0027,PROD031,STORE018,DP026,"2024-01-21 06:06:00","2024-01-21 06:19:00",9,575.16,24.04,13,Shipped,PAY03,Morning
ORD00019,CUST0009,PROD145,STORE021,DP014,"2024-04-06 08:15:00","2024-04-06 08:29:00",8,862.32,75.12,14,Shipped,PAY02,Morning
ORD00020,CUST0021,PROD062,STORE036,DP005,"2024-02-08 09:18:00","2024-02-08 09:33:00",9,190.34,98.71,15,Delivered,PAY04,Morning
ORD00021,CUST0030,PROD137,STORE001,DP031,"2024-12-26 06:18:00","2024-12-26 06:34:00",8,402.35,64.95,16,Shipped,PAY03,Morning
ORD00022,CUST0044,PROD041,STORE004,DP011,"2024-10-08 04:45:00","2024-10-08 05:02:00",5,511.26,19.13,17,Delivered,PAY02,Morning
ORD00023,CUST0001,PROD106,STORE031,DP015,"2024-06-30 05:29:00","2024-06-30 05:47:00",5,820.10,42.54,18,Pending,PAY02,Morning
ORD00024,CUST0002,PROD139,STORE015,DP018,"2024-06-30 05:54:00","2024-06-30 06:13:00",6,876.65,76.08,19,Delivered,PAY01,Morning
ORD00025,CUST0032,PROD131,STORE003,DP045,"2024-05-30 08:25:00","2024-05-30 08:45:00",6,872.70,34.96,20,Shipped,PAY04,Morning
ORD00026,CUST0037,PROD078,STORE045,DP037,"2024-04-16 11:34:00","2024-04-16 11:55:00",7,223.22,97.78,21,Cancelled,PAY05,Morning
ORD00027,CUST0041,PROD124,STORE046,DP013,"2024-09-24 09:09:00","2024-09-24 09:31:00",1,368.82,33.05,22,Cancelled,PAY01,Morning
ORD00028,CUST0017,PROD110,STORE024,DP015,"2024-01-16 05:46:00","2024-01-16 06:09:00",4,565.40,77.59,23,Cancelled,PAY04,Morning
ORD00029,CUST0017,PROD067,STORE003,DP005,"2024-11-10 05:50:00","2024-11-10 06:14:00",10,484.66,73.02,24,Shipped,PAY05,Morning
ORD00030,CUST0006,PROD092,STORE016,DP013,"2024-12-20 07:08:00","2024-12-20 07:33:00",1,974.41,12.63,25,Cancelled,PAY01,Morning
ORD00031,CUST0004,PROD010,STORE018,DP035,"2024-11-06 07:57:00","2024-11-06 08:23:00",6,344.54,86.87,26,Delivered,PAY04,Morning
ORD00032,CUST0041,PROD130,STORE004,DP042,"2024-04-01 09:42:00","2024-04-01 10:09:00",10,529.06,47.66,27,Cancelled,PAY05,Morning
ORD00033,CUST0033,PROD059,STORE017,DP024,"2024-12-12 02:18:00","2024-12-12 02:46:00",4,531.09,62.62,28,Shipped,PAY05,Morning
ORD00034,CUST0018,PROD053,STORE019,DP031,"2024-10-04 08:25:00","2024-10-04 08:54:00",7,158.12,12.93,29,Shipped,PAY05,Morning
ORD00035,CUST0026,PROD007,STORE042,DP010,"2024-06-08 05:58:00","2024-06-08 06:28:00",6,901.09,9.16,30,Delivered,PAY03,Morning
ORD00036,CUST0039,PROD126,STORE023,DP037,"2024-04-25 04:24:00","2024-04-25 04:34:00",4,299.69,95.28,10,Pending,PAY03,Morning
ORD00037,CUST0042,PROD131,STORE020,DP013,"2024-01-13 08:36:00","2024-01-13 08:47:00",1,512.35,86.45,11,Pending,PAY01,Morning
ORD00038,CUST0035,PROD143,STORE034,DP044,"2024-07-26 04:58:00","2024-07-26 05:10:00",3,796.56,78.29,12,Delivered,PAY05,Morning
ORD00039,CUST0032,PROD016,STORE002,DP046,"2024-08-21 03:26:00","2024-08-21 03:39:00",7,503.41,98.94,13,Pending,PAY04,Morning
ORD00040,CUST0047,PROD078,STORE002,DP037,"2024-11-14 04:17:00","2024-11-14 04:31:00",4,100.13,38.37,14,Delivered,PAY04,Morning
ORD00041,CUST0032,PROD003,STORE028,DP002,"2024-07-11 06:41:00","2024-07-11 06:56:00",6,430.46,61.94,15,Pending,PAY05,Morning
ORD00042,CUST0031,PROD101,STORE024,DP042,"2024-09-17 00:44:00","2024-09-17 01:00:00",5,627.73,11.52,16,Cancelled,PAY02,Morning
ORD00043,CUST0034,PROD037,STORE010,DP012,"2024-12-18 04:15:00","2024-12-18 04:32:00",8,504.30,23.87,17,Delivered,PAY01,Morning
ORD00044,CUST0032,PROD053,STORE034,DP017,"2024-07-03 04:48:00","2024-07-03 05:06:00",2,142.66,13.81,18,Delivered,PAY03,Morning
ORD00045,CUST0039,PROD026,STORE032,DP008,"2024-04-18 11:26:00","2024-04-18 11:45:00",10,186.29,47.59,19,Cancelled,PAY01,Morning
ORD00046,CUST0043,PROD127,STORE043,DP040,"2024-06-19 00:16:00","2024-06-19 00:36:00",6,355.59,13.02,20,Pending,PAY03,Morning
ORD00047,CUST0012,PROD077,STORE013,DP038,"2024-05-20 07:45:00","2024-05-20 08:06:00",6,195.60,38.15,21,Pending,PAY01,Morning
ORD00048,CUST0038,PROD109,STORE016,DP022,"2024-05-31 05:03:00","2024-05-31 05:25:00",8,106.29,74.41,22,Delivered,PAY03,Morning
ORD00049,CUST0023,PROD036,STORE028,DP038,"2024-11-18 03:51:00","2024-11-18 04:14:00",10,340.05,56.73,23,Shipped,PAY03,Morning
ORD00050,CUST0022,PROD125,STORE037,DP044,"2024-07-09 09:52:00","2024-07-09 10:16:00",6,386.79,3.64,24,Shipped,PAY02,Morning
ORD00051,CUST0048,PROD140,STORE007,DP008,"2024-07-28 06:06:00","2024-07-28 06:31:00",7,650.86,16.08,25,Shipped,PAY05,Morning
ORD00052,CUST0002,PROD094,STORE015,DP002,"2024-10-29 01:30:00","2024-10-29 01:56:00",1,640.73,41.14,26,Cancelled,PAY05,Morning
ORD00053,CUST0004,PROD118,STORE029,DP028,"2024-03-08 05:32:00","2024-03-08 05:59:00",10,255.19,14.86,27,Cancelled,PAY05,Morning
ORD00054,CUST0019,PROD087,STORE036,DP004,"2024-03-07 05:36:00","2024-03-07 06:04:00",4,629.97,78.66,28,Pending,PAY04,Morning
ORD00055,CUST0028,PROD075,STORE008,DP005,"2024-01-02 00:22:00","2024-01-02 00:51:00",5,663.84,22.87,29,Shipped,PAY03,Morning
ORD00056,CUST0040,PROD131,STORE024,DP018,"2024-09-10 00:31:00","2024-09-10 01:01:00",3,593.90,97.66,30,Pending,PAY05,Morning
